content_id,title,content_type,genre,language,studio,duration_minutes,avg_rating,num_ratings,is_exclusive,release_date
content_00001,Midnight in Jakarta 3,Movie,Documentary,Japanese,Disney+,130,3.5,38752,True,2022-02-16
content_00002,The Compound 4,Series,Comedy,Korean,Warner Bros,58,4.6,26545,True,2024-12-24
content_00003,The Finance Hour 6,Podcast,Thriller,Korean,Universal,80,4.2,26555,False,2023-06-02
content_00004,Neon Dreams Album 5,Music,Drama,Japanese,Disney+,4,3.7,41230,True,2026-02-13
content_00005,The Last Horizon 3,Movie,Action,Indonesian,Blumhouse,128,4.0,21477,True,2024-08-02
content_00006,Fire and Rain 4,Movie,Comedy,Spanish,Blumhouse,117,4.2,32179,False,2023-03-31
content_00007,Neon Dreams Album 7,Music,Action,Indonesian,A24,4,3.3,24713,False,2023-09-16
content_00008,Code Red 8,Movie,Action,English,Universal,135,2.8,46955,False,2023-07-21
content_00009,Fire and Rain 9,Movie,Thriller,Spanish,Blumhouse,100,3.8,25699,False,2023-07-06
content_00010,Tech Decoded 1,Podcast,Sci-Fi,Korean,Paramount,25,2.8,24063,False,2021-09-30
content_00011,Urban Shadows 6,Movie,Sci-Fi,Japanese,Disney+,125,3.5,3749,True,2024-11-23
content_00012,The Agency 5,Series,Romance,Spanish,Disney+,27,3.3,1341,False,2026-01-28
content_00013,Startup Stories 1,Podcast,Documentary,Spanish,A24,80,4.0,20793,False,2023-02-01
content_00014,Culture Shift 2,Podcast,Sci-Fi,Spanish,Disney+,46,3.3,32999,False,2025-05-08
content_00015,Midnight Vibes Playlist 2,Music,Sci-Fi,Japanese,Warner Bros,5,3.0,17427,True,2024-08-14
content_00016,True Crime Weekly 6,Podcast,Horror,Spanish,Disney+,54,2.7,34853,False,2023-11-22
content_00017,Fracture 7,Series,Sci-Fi,Indonesian,Universal,54,3.3,27202,False,2024-11-16
content_00018,Culture Shift 4,Podcast,Drama,Indonesian,HBO,79,3.2,41857,False,2023-02-10
content_00019,Code Red 4,Movie,Horror,Korean,Blumhouse,99,4.4,19728,False,2023-12-26
content_00020,City Beats Collection 5,Music,Comedy,English,A24,5,2.9,45063,True,2024-01-04
content_00021,Dark Corners 4,Series,Comedy,English,Warner Bros,39,3.7,36738,False,2023-12-02
content_00022,Code Red 1,Movie,Horror,English,Universal,113,4.5,18254,True,2022-09-03
content_00023,Midnight in Jakarta 6,Movie,Thriller,Indonesian,Netflix Original,157,3.2,4216,False,2024-03-31
content_00024,Midnight in Jakarta 9,Movie,Documentary,English,Warner Bros,95,3.8,38088,False,2023-07-03
content_00025,The Wandering Soul 6,Movie,Horror,Spanish,Disney+,154,4.3,49095,True,2023-11-30
content_00026,Blood & Tide 5,Series,Drama,Indonesian,HBO,48,3.5,38682,True,2023-07-15
content_00027,Midnight Vibes Playlist 4,Music,Comedy,Korean,A24,4,4.7,9546,False,2023-08-15
content_00028,Electronic Pulse Mix 1,Music,Romance,Indonesian,Netflix Original,5,4.8,44063,True,2024-11-12
content_00029,History Unfolded 8,Podcast,Romance,Korean,Disney+,69,2.5,25804,False,2024-08-06
content_00030,Code Red 8,Movie,Horror,Korean,Warner Bros,160,3.3,42283,False,2021-11-10
content_00031,Fire and Rain 7,Movie,Romance,Indonesian,Blumhouse,122,4.3,6629,True,2022-05-15
content_00032,Indie Gold Compilation 9,Music,Comedy,Korean,A24,5,3.3,45611,True,2022-01-05
content_00033,The Last Horizon 7,Movie,Drama,Japanese,HBO,105,4.1,20610,True,2025-08-31
content_00034,Echo Protocol 6,Series,Horror,Spanish,HBO,48,3.7,48230,True,2024-10-28
content_00035,The Agency 7,Series,Sci-Fi,Korean,Warner Bros,43,3.0,24778,True,2026-03-03
content_00036,Beyond the Storm 5,Movie,Horror,Indonesian,Blumhouse,169,4.6,3312,False,2022-10-27
content_00037,Science Today 3,Podcast,Romance,English,Disney+,35,2.5,34511,False,2021-12-13
content_00038,History Unfolded 4,Podcast,Thriller,Indonesian,Warner Bros,54,3.2,32435,False,2025-07-22
content_00039,Startup Stories 4,Podcast,Horror,Spanish,Warner Bros,73,3.0,9614,True,2024-08-28
